Year,Water_level
Jan-80,5.490
Feb-80,5.683
Mar-80,5.737
Apr-80,6.190
May-80,5.353
Jun-80,4.620
Jul-80,4.078
Aug-80,3.895
Sep-80,4.555
Oct-80,4.430
Nov-80,4.807
Dec-80,5.104
Jan-81,5.220
Feb-81,5.413
Mar-81,5.393
Apr-81,5.390
May-81,4.255
Jun-81,5.445
Jul-81,4.766
Aug-81,5.390
Sep-81,5.627
Oct-81,5.670
Nov-81,5.807
Dec-81,5.730
Jan-82,5.647
Feb-82,5.490
Mar-82,5.226
Apr-82,4.813
May-82,4.352
Jun-82,4.300
Jul-82,4.205
Aug-82,4.293
Sep-82,3.870
Oct-82,2.570
Nov-82,4.465
Dec-82,4.880
Jan-83,5.286
Feb-83,6.120
Mar-83,5.928
Apr-83,6.118
May-83,5.210
Jun-83,3.770
Jul-83,2.884
Aug-83,3.937
Sep-83,3.863
Oct-83,4.700
Nov-83,4.903
Dec-83,5.270
Jan-84,5.286
Feb-84,6.120
Mar-84,5.928
Apr-84,6.118
May-84,5.210
Jun-84,3.770
Jul-84,2.884
Aug-84,3.937
Sep-84,3.863
Oct-84,4.700
Nov-84,4.903
Dec-84,5.270
Jan-85,5.468
Feb-85,6.120
Mar-85,5.928
Apr-85,6.118
May-85,5.210
Jun-85,1.657
Jul-85,1.380
Aug-85,3.937
Sep-85,3.863
Oct-85,4.700
Nov-85,4.903
Dec-85,5.270
Jan-86,5.975
Feb-86,6.073
Mar-86,6.370
Apr-86,6.493
May-86,6.170
Jun-86,6.113
Jul-86,5.460
Aug-86,5.090
Sep-86,4.965
Oct-86,4.465
Nov-86,4.758
Dec-86,4.857
Jan-87,5.673
Feb-87,5.943
Mar-87,6.125
Apr-87,6.110
May-87,5.960
Jun-87,5.102
Jul-87,4.525
Aug-87,4.418
Sep-87,3.820
Oct-87,3.967
Nov-87,4.540
Dec-87,4.955
Jan-88,5.330
Feb-88,5.860
Mar-88,5.480
Apr-88,5.000
May-88,4.110
Jun-88,3.868
Jul-88,3.978
Aug-88,3.995
Sep-88,4.143
Oct-88,4.377
Nov-88,4.993
Dec-88,5.145
Jan-89,5.286
Feb-89,6.120
Mar-89,5.928
Apr-89,6.118
May-89,5.210
Jun-89,3.770
Jul-89,2.884
Aug-89,3.937
Sep-89,3.863
Oct-89,4.700
Nov-89,4.903
Dec-89,5.270
Jan-90,5.286
Feb-90,6.120
Mar-90,5.928
Apr-90,6.118
May-90,5.210
Jun-90,3.770
Jul-90,2.884
Aug-90,3.937
Sep-90,3.863
Oct-90,4.700
Nov-90,4.903
Dec-90,5.270
Jan-91,5.286
Feb-91,6.120
Mar-91,5.928
Apr-91,6.118
May-91,5.210
Jun-91,3.770
Jul-91,2.884
Aug-91,3.937
Sep-91,3.863
Oct-91,4.700
Nov-91,4.903
Dec-91,5.270
Jan-92,5.640
Feb-92,5.843
Mar-92,6.220
Apr-92,6.010
May-92,5.380
Jun-92,4.700
Jul-92,4.607
Aug-92,3.970
Sep-92,4.623
Oct-92,4.865
Nov-92,4.794
Dec-92,5.025
Jan-93,5.720
Feb-93,5.993
Mar-93,6.015
Apr-93,6.190
May-93,5.353
Jun-93,4.620
Jul-93,4.078
Aug-93,3.895
Sep-93,4.285
Oct-93,4.483
Nov-93,4.827
Dec-93,5.403
Jan-94,5.772
Feb-94,6.088
Mar-94,6.165
Apr-94,5.770
May-94,5.930
Jun-94,6.190
Jul-94,5.795
Aug-94,6.135
Sep-94,6.130
Oct-94,5.840
Nov-94,5.960
Dec-94,6.320
Jan-95,6.000
Feb-95,6.198
Mar-95,5.675
Apr-95,5.490
May-95,5.128
Jun-95,5.243
Jul-95,4.868
Aug-95,3.425
Sep-95,3.450
Oct-95,3.723
Nov-95,2.857
Dec-95,4.215
Jan-96,3.598
Feb-96,4.495
Mar-96,3.870
Apr-96,4.224
May-96,3.778
Jun-96,3.745
Jul-96,2.633
Aug-96,2.833
Sep-96,2.850
Oct-96,3.310
Nov-96,4.465
Dec-96,3.625
Jan-97,4.625
Feb-97,5.050
Mar-97,3.950
Apr-97,3.813
May-97,3.850
Jun-97,4.070
Jul-97,3.730
Aug-97,4.225
Sep-97,3.577
Oct-97,3.293
Nov-97,3.350
Dec-97,4.880
Jan-98,3.870
Feb-98,4.190
Mar-98,4.398
Apr-98,4.110
May-98,4.250
Jun-98,4.818
Jul-98,5.123
Aug-98,4.835
Sep-98,4.710
Oct-98,4.290
Nov-98,5.145
Dec-98,5.000
Jan-99,5.085
Feb-99,5.383
Mar-99,5.542
Apr-99,5.890
May-99,5.815
Jun-99,3.545
Jul-99,3.978
Aug-99,5.378
Sep-99,4.748
Oct-99,4.950
Nov-99,5.103
Dec-99,4.850
Jan-00,4.878
Feb-00,5.165
Mar-00,5.420
Apr-00,5.565
May-00,5.313
Jun-00,4.953
Jul-00,4.645
Aug-00,4.773
Sep-00,4.223
Oct-00,3.658
Nov-00,4.215
Dec-00,3.946
Jan-01,4.294
Feb-01,4.693
Mar-01,5.280
Apr-01,4.570
May-01,4.533
Jun-01,4.810
Jul-01,4.398
Aug-01,4.520
Sep-01,4.340
Oct-01,5.053
Nov-01,5.145
Dec-01,5.030
Jan-02,4.983
Feb-02,5.190
Mar-02,5.371
Apr-02,5.220
May-02,5.200
Jun-02,5.280
Jul-02,4.893
Aug-02,4.537
Sep-02,4.350
Oct-02,4.975
Nov-02,5.400
Dec-02,5.423
Jan-03,5.638
Feb-03,5.780
Mar-03,6.270
Apr-03,6.163
May-03,6.360
Jun-03,5.935
Jul-03,5.605
Aug-03,5.297
Sep-03,5.340
